Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Озон ""Флуоксетин""",Аноним318822,"Россия, Казань",+3,чуть не сдох,нету плюсов,я уже перечислил,"ребята не знаю как на вас подействует, но я чуть не сдох итак, начал принимать по 40мг сначало в первой неделе ходил бодрячком, настроение отличное но уже на второй неделе начались проблемы сильная сонливость, затуманливает сознание вечно в непонятках ходил как будто мозг отключается просто мозг да такой степени затупливается, нету сил, сильное потоотделение повышенная температура 38.7. а я в это время еще принимал думал пройдет, родители говорили бросай пить эту фигню, а я пил и пил думал нервишки подлечу. и в конце концов попал в реанимацию 3 суток под системой валялся. потом выписали лечещий врач поставил диагноз сиротиновый синдром сказали мог быть летальный исход. и сказал без разрешения невролога строго НЕ ПРИНИМАТЬ!!!!",Отзыв рекомендуют:26,4
"Антидепрессант Озон ""Флуоксетин""",Санса Старк,Россия,+11854,"Таблетки для дурочек-анорексичек. Я тоже пила, но по назначению.","делает человека счастливым, уходит раздражительность, депрессия и злость уходят, нет привыкания.","головная боль, потеря аппетита.",Всем Доброго времени суток.,Отзыв рекомендуют:63,5
"Антидепрессант Озон ""Флуоксетин""",lasth0pe,"Россия, Рыбинск",+1,Работает! Наберитесть терпения,"Цена, эффективность, депрессию лечит",Побочки,Доброго всем здоровья! ,Отзыв рекомендуют:23,0
"Антидепрессант Озон ""Флуоксетин""",Любовная любовь,"Россия, Рязань",+13097,Флуоксетин - лучший антидепрессант.,"Помогает, недорогой.",Продается по рецепту.,"Этот препарат мне назначил врач- психиатр, выписал рецепт. Флуоксетинов в аптеке было очень много и все стоили по-разному.",Отзыв рекомендуют:17,2
"Антидепрессант Озон ""Флуоксетин""",Bayuna,"Россия, Москва",+246,"Нормальный препарат, имеющий огромный плюс по сравнению с другими","Достаточно эффективно, без неприятных побочных эффектов, дёшево.",Иногда попадаются пустышные партии.,"Я себе ""выписала"" этот Флуоксетин сама - врачи прописывали мне другие антидепрессанты, большинство из которых имеет однозначно не подходящий мне побочный эффект - запор. Единственное исключение - Иксел - тоже хороший препарат, даже лучше Флуоксетина, но на 2 порядка дороже, я себе такого позволить не могу. Пить Флуоксетин просто для того, чтобы худеть, по-моему, странно (хотя многие тут об этом пишут) - лично на моём весе он никак не отражается, просто хожу в туалет нормально и всё. ",Отзыв рекомендуют:21,5
"Антидепрессант Озон ""Флуоксетин""",Lesychka,"Россия, Сыктывкар",+6,Только по назначению врача!,Не хочется есть,"Болит голова Бессонница Ходишь как зомби Сложный отказ (болят суставы, голова и тд)","Дорогие девушки, желавшие похудеть с помощью этого препарата, не глупите! Зачем портить свое здоровье??? Я повелась на отзывы в интернете, мол ""Отбивает аппетит"", ""Сбросила вес!"" и купила этот препарат, мне удалось сделать это и без рецепта... Действие началось на 3 день после приема... Да, мне не хотелось есть, но при этом я ещё и не могла спать нормально, болела целыми днями голова и стала как зомби! Не стоит ради фигуры гробить здоровье! Не занимайтесь самолечением! Если вас беспокоит что-то в вашем пищевом поведении посетите врача! А ещё очень тяжело отказываться от этого препарата, состояние не из лучших... Мучает больв суставах, головная боль, тошнота... В интернете позже прочла, что были и случаи самоубийств во время отказа...!",Отзыв рекомендуют:20,2
"Антидепрессант Озон ""Флуоксетин""",Марина Гейдрих,"Россия, Можайск",+32270,Сильный антидепрессант.,"Заглушает боль (физическую и душевную) напрочь. Цена не бьёт по карману, мой препарат.","Отсутствие слёз, снижение артериального давления, пофигизм на всё происходящее, нечёткость зрения, головная боль.","Данный препарат-антидепрессант группы СИОЗС (селективных ингибиторов обратного захвата серотонина), правда другого производителя, вытаскивал меня из депрессии несколько раз.",Отзыв рекомендуют:69,30
"Антидепрессант Озон ""Флуоксетин""",Жучара,"Украина, Любимый.",+19352,Боже! Что со мной не так? или...почему я не похудела в отличии от остальных?,Легко переносится.,"Не эффективен для похудения, это точно!","Лишний вес и депрессия есть не у каждой женщины после 30, но у многих. Я - не исключение. Ситуация усугубляется еще и привычкой"" заедать"" проблемы и тревоги... Еще недавно я убеждала всех, что принимать подобного рода препараты -вредно и опасно. Но, чего греха таить, попробовала принимать ""Флуоксетин"" сама... О результатах тридцатидневного приема вам сегодня поведаю...",Отзыв рекомендуют:39,22
"Антидепрессант Озон ""Флуоксетин""",Velevla,"Россия, ОбновлениеПенза",+169374,На первый взгляд не уступает зарубежным аналогам),Эффективен,Есть побочки и противопоказания,"Приветствую вас, друзья и читатели)",Отзыв рекомендуют:138,26
"Антидепрессант Озон ""Флуоксетин""",мировая,"Россия, Новомосковск",+1717,"очень, очень странный эффект!","отвлеченность, эффект Алисы в стране чудес ;для некоторых -потеря веса.","равнодушие,потеря веса и либидо","Случились два года назад некие события жизненные, что повлекли устойчиво низкое настроение, апатию и нежелание вставать с кровати по утрам и жить. Тогда я, как настоящий экспериментатор, подумала, что помощью могут стать антидепрессанты. Флуоксетин-это очень дешевый российский аналог Прозака, что популярен за границей. ",Отзыв рекомендуют:14,8
"Антидепрессант Озон ""Флуоксетин""",Vedmaya,"Россия, Волгоград",+100,"Избавил от панических атак, вернул вкус к жизни.","Действительно помог, бысто прошли побочки",Не нашла,"Остеохондроз страшная и не приятная вещь, скажу я ВАМ, дорогие мои. Эта коварная болезнь маскируется под другие еще более страшные болячки. ",Отзыв рекомендуют:10,0
"Антидепрессант Озон ""Флуоксетин""",Bogatai8888,"Россия, Москва",+734,Вернул меня к жизни,Спас мне жизнь,"во время лечения пропало либидо, но после лечения всё стало даже лучше чем было до лечения","От нафтизиновой зависимости у меня начались панические атаки, а они в свою очередь спровоцировали сильнейшую депрессию, дереализацию. Что я пережила наверное до конца может понять только человек переживший что то подобное. Мир из цветного превратился в чёрно белый, полная потеря смысла жизни, беспричинная тоска от которой хоть на стену лезь, хоть волком вой, посещали суицидальные мысли так как выдерживать такое состояние уже не было сил, чувство безысходности и так изо дня в день, плюс ко всему временами наступала дереализация которая стирала грани реальности и казалось что сходишь с ума. Ни кому не пожелаю такого, это УЖАСНО. Я обратилась к психотерапевту которая выписала мне ""Золофт"" после первого же приёма этого препарата все мои симптомы усилились в разы, это чудо что я после приёма этого лекарства осталась жива, он категорически мне не подошёл и это притом что я приняла его в минимальной дозировке по совету врача я начала приём с 1/8, а что было бы если бы я выпила целую таблетку ? В интернете я случайно наткнулась на один из отзывов о препарате ""Флуоксетин"" исходя из предыдущего горько опыта по принятию антидепрессанта мне было очень страшно пробовать ещё один, но так как терять мне было нечего я решилась попробовать и после первого же приёма произошло ЧУДО по другому я просто не могу это назвать, я вдруг как будто пробудилась от кошмарного сна увидела солнышко, мир вокруг снова стал красочным я не могла сдержать слёз радости, счастье буквально переполняло меня, моему восторгу просто не было предела, ""Флуоксетин"" вернул меня к жизни когда я почти уже потеряла всякую надежду. Мне ""Флуоксетин"" подошёл на все 100 % Принимала я его только утром 1 раз в день в первую неделю по одной таблетки, начиная со второй недели я начала принимать по 2 таблетки с третий недели принимала по 3 таблетки, в общей сложности принимала 1 месяц. Либидо во время лечения пропало полностью, но после лечения всё вернулось и стало даже лучше чем было до. А вот на аппетит в моём случае ни как не повлияло и ещё как бонус который мне очень понравился и сохраняется до сих пор это, то что мне стало достаточно для того чтобы выспаться 7 часов, до этого мне и 10 было мало.",Отзыв рекомендуют:11,3
"Антидепрессант Озон ""Флуоксетин""",гена либерман,"Украина, Одесса",+164877,Это лекарство- антидепрессант! А лишь потом- всё остальное.,Эффективен при грамотном назначении,Многовато побочных явлений,Всем доброго времени суток!,Отзыв рекомендуют:36,6
"Антидепрессант Озон ""Флуоксетин""",delorean,Украина,+1,Флуоксетин - мощная штука!,"Флуоксетин, действительно, легкое и дешевое решение многих проблем. Выравнивает настроение, прекрасно справляется с мрачными мыслями, нервными качелями.Худеете реально, курить бросаете тоже реально. Пить Флу нужно утром, тогда весь день бодрячок.","Алкоголь! Во время приема Флу ни в коем случае. От бокала вина меня развозило в хламину, реакция может быть любая, да анафилактического шока. Не рискуйте, очень опасно.","Начала пить по назначению врача, был невроз и что-то там еще. Спать не могла, работать не могла, в общем- было очень плохо. Эффект от Флу почувствовала дня через 3-4, и через недельку состояние практически нормализовалось. Пропила месяц и только после этого начала РЕЗКО худеть. За все время (1,5 мес) похудела на 7 кг. Если не следить за питанием и не держать потом вес - все возвращается обратно! Аппетита реально нет, просто не думаешь о еде и кушаешь когда действительно необходимо. Под Флуоксетином идеально БРОСАТЬ КУРИТЬ! Курить не хочется вообще, сигаретная вонь даже противна.",Отзыв рекомендуют:11,0
"Антидепрессант Озон ""Флуоксетин""",LiSette,"Россия, Самара",+18,"Спасение нервов в его ""руках""",низкая цена,побочные эффекты,"Отличное средство при сильных стрессах и депрессии. Было время когда сильно хотелось мне похудеть и я постоянно сидела на различных форумах, сайтах, группах Вконтакте... Все там постоянно говорили о каком-то чудо-препарате называемом ""Флуоксетин"". Ну и решила я попробовать. И не зря! Кушать после него действительно не хочется, настроение отличное. К тому же цена довольно не большая. Второй раз решила его пить во время сессии, а точнее перед ней. Переживаний из-за экзаменов не было вообще! Так что сдать сессию оказалось делом не сложным, так как все проблемы из-за переживаний. ",Отзыв рекомендуют:8,0
"Антидепрессант Озон ""Флуоксетин""",Lapa121,,+37,"Лучшее, что было со мной.","Много чего, волшебные таблетки.",Все стало по фигу.,"Раньше я думала, что депрессию выдумали ленивые американцы, что бы на нее сваливать свою лень. Но недавно с ней я встретилась сама. При том, что депрессия меня захлестнула, когда казалось бы в жизни все стало налаживаться. ",Отзыв рекомендуют:7,0
"Антидепрессант Озон ""Флуоксетин""",Галина881,Россия,+713,"Хорошо помогает, стоит копейки","Успокаивает, но не затормаживает. Дешево",Нет,"Мне посоветовала коллега этот препарат, ей в период сессии он очень помог держать себя в руках, ничего не успевала, не высыпалась, нервничала итд. Я прочитала состав, побочные эффекты, почитала отзывы и решилась наконец то)) начала принимать утром по 1 капсуле о еды. Буквально через пару недель почувствовала, что раздражительность как рукой сняло.",Отзыв рекомендуют:11,7
"Антидепрессант Озон ""Флуоксетин""",Лапушка30,"Россия, Новосибирск",+10,Опасно для здоровых людей.,Не обнаружила.,Опасный препарат и принимать его действительно нужно только по рекомендации врача.,"В своем стремлении похудеть быстро и без особых усилий я наткнулась, на просторах интернета, на этот препарат антидепрессант ""Флуоксетин"". Предварительно я прочитала не мало положительной информации о нем. Отзывы в основном были такие "" и настроение хорошее всегда и худеешь"". Прочитала так же, что достать его без рецепта практически не возможно. Но я было уверена в себе и мое желание похудеть было выше всех преград))) Итак, в первой аптеке мне его не продали, так и сказали, что только по рецепту, но рядом, в аптеке напротив я прикупила 2 коробочки без особых усилий. Начала пить на следующий день утром, перед работой ( необходимо принимать по 1 таб. по утрам). Первый день-ничего, аппетит как всегда, настроение тоже. Второй день-уже к 11-00 часам на работе со мной начали происходить странные странности... точнее с организмом моим. Сложно передать это словами, но я попробую. Впечатление такое будто тебе оооочень весело, вот когда выпьешь прилично и тебе весело, но тогда ты понимаешь, что пил и все очевидно, а здесь вот это офигенное веселье, но ты понимаешь что не пил и от этого тревожность... Веселье, возбудимость и тревожность... Ехала я домой ( за рулем), так сказать "" огородами"", т. к. внимание рассеяно и собрать себя в кучу очень сложно... Дома с мужем сели и еще прочитали отзывы, и там они были уже не такие восхищенные) Они больше пугающие, про слегка потерянный рассудок, суицид как последствие. Вывод такой, возможно для людей, которые страдают депрессией и подобными растройствами, препарат поможет и как побочкой будет похудение, но здоровым людям категорически не рекомендую.",Отзыв рекомендуют:6,1
"Антидепрессант Озон ""Флуоксетин""",Аноним535332,"Россия, Москва",-0,"Ужассно,перешла на Нейрофулол, он хотя бы мне помогает и без побочек","нет, если только кому то надо сбросить вес","тошнота, рвота, сон совсем пропал, и так тошнотворное состояние еще и усиливается а не проходит","Флуоксетин довольно дорог, а для меня это важно, при чем при пропивании этого препарата мое состояние ухудшилось, появился озноб, дикая слабость, я вообще перестала есть Дикая ТОШНОТА, пришлось переходить на другой препарат Нейрофуолл кажется он действует стабильно и его можно сочетать с алкоголем ( ссори за такие подробности но на выходных иногда так хочется да праздники, дни рождения, увы без этого никак) я конечно знаю что не желательно но с другими таблетками вообще категорически нельзя",Отзыв рекомендуют:6,4
"Антидепрессант Озон ""Флуоксетин""",Nitatara,"Россия, Москва",+100,Хорошо помогает при адекватном назначении,"эффективен, легко принимать, низкая цена",необходима консультация врача,"Препарат флуоксетин мне назначил врач. Я жаловалась на нервозность, постоянно плаксивое настроение, депрессию, головные боли и тяжесть в голове. Назначил не просто так, а после ряда анализов.",Отзыв рекомендуют:8,4
"Антидепрессант Озон ""Флуоксетин""",Аноним345915,"Россия, Новосибирск",-0,"Помогает, но много побочек",Ровное настроение,Панические атаки,"Я пила Флуоксетин 8 дней, по одной капсуле, у меня были перемены настроения, приступы агрессии или обиды, депрессивное состояние. Мне помогло, я стала уравновешенной в хорошем настроении короче нормальным человеком, но потом я поняла что за 8 дней у меня 3 раза были ночью панические атаки тяжелые сны и потом бессонница, хотя раньше я страх необоснованный вообще не испытывала никогда, днем то все хорошо а вот ночью только засну что-то приснится и паника накрывает и не сплю потом, умом понимаю что это бред а тело так реагирует как будто реальная угроза жизни - одышка, тахикардия, страх почти до потери сознания, я в шоке вообще. бросила пить флу буду лучше сама бороться со своим характером бешеным, чем вот такое терпеть, я уже боюсь ложиться спать. ",Отзыв рекомендуют:5,2
"Антидепрессант Озон ""Флуоксетин""",Ogoltely,"Россия, Москва",+4,Эффективное средство,Ощутимый результат,Пока что не обнаружено,"Никогда не думала, что буду использовать это средство. Я знала о нём давно, начиталась на различных пабликах, где идеалом красоты являются девушки с минимальным количеством веса, то есть анорексички. Они используют данный препарат в целях похудения, чтобы переносить диеты проще и иметь ощутимый эффект. Я не буду говорить о том, что думаю на этот счёт, и всё же это препарат не предназначен для этих целей. ",Отзыв рекомендуют:5,1
"Антидепрессант Озон ""Флуоксетин""",vedmos123,"Россия, Москва",+21,"""Флуоксетин"" - страна чудес: зашел в нее и там исчез...","отсутствие аппетита, помогает при депрессии","не каждый ""Флуоксетин"" работает как надо","На флуоксетин я наткнулась случайно и довольно давно. Я хорошо была наслышана о его свойствах, как средства для похудения, однако мало где слышала о его свойствах антидепрессанта, но без лишних раздумий решила попробовать на себе. Как раз и момент был подходящий: ужасная подавленность с периодическими истериками. К тому же похудеть я тоже на тот момент очень хотела, и ""Флуоксетин"" был очень даже кстати",Отзыв рекомендуют:5,0
"Антидепрессант Озон ""Флуоксетин""",Драгомир,"Россия, Протвино",+1,"Помогает, если есть показания к применению",Цена Лечебный эффект,не все аптеки продадут,"Не советую пить флуоксетин ради похудения. Если с психикой все нормально, то он может ее подпортить.",Отзыв рекомендуют:8,0
"Антидепрессант Озон ""Флуоксетин""",Аноним345428,"Россия, Липецк",-0,я очень довольна Ланнахером!,"Улучшение настроения, похудение за счет снижения аппетита, спокойствие и чувство комфорта, а также ПОФИГИЗМ)","Сонливость днем, бессонница ночью, УМЕНЬШЕНИЕ ЛЕБИДО.","Начала принимать ооочень давно, принимать начала для похудения, но что порадовало и от депрессии он меня тоже спасал. Принимала флу российского производителя(за 38 рублей). От него подташнивало, а иногда был противный привкус в горле (как-будто порошок в горле). Я похудела тогда очень, кг на 10 точно. И перестала принимать. Прошло 2 наверное года и решила снова начать пить от депрессий. Опять пила российского производства, опять эта тошнота. Пошла в аптеку и был только флу Ланнахер. взяла. Я ПРОСТО СЧАСТЛИВА!!!! никакой тошноты, за 2 недели похудела на 7 кг и продолжаю худеть, настроение отличное!",Отзыв рекомендуют:7,0
"Антидепрессант Озон ""Флуоксетин""",Ana1726,"Россия, Москва",+3,"помогает, но много побочек",спокойствие,много побочных эффектов (читайте мой отзыв),"так как я страдаю компульсивным расстройством, то мне оно помогает) аппетит снижает, и я не жру, как свинья) хотя до этого каждый день в себя впихивала тонну еды. Лучше ни с какими лекарствами не принимать, а пить отдельно, чтобы хуже не было.",Отзыв рекомендуют:4,0
"Антидепрессант Озон ""Флуоксетин""",Satenchik,"Россия, Псков",+4,Аналог прозака. Побочки.,Цена,"Побочные эффекты довольно ощутимы, но это индивидуально.","Связи с депрессивный расстройством средней средней степени врач назначил этот препарат. Это был первый опыт приёма сиозс. В первые дни приёма появился какой-то туман в голове, усилилась тревога, вплоть до лёгких ПА. ",Отзыв рекомендуют:4,0
"Антидепрессант Озон ""Флуоксетин""",inteligen66,"Украина, Винница",+1,Хороший препарат для держания своих нервов при себе,"Помогает при бессонице,дешевая цена","Подходит не для всех,выпускается по рецепту,результат длится не долго","всем привет. Я болею анорексией уже 4 года. Лечение было разное. И стационарное и медикаментозное, ходила к психологам... но увы ничего не помогло. Вот когда лежала в больнице этим летом, то мой врач-психотерапевт выписал мне ""Флуоксетин""... хотя раньше я слышала, что его принимают больные булимией или шизофренией. У меня не было подобных симптомов именно этих болезней, но депрессия и полный отказ от пищи присутствовал. Я ненавидела себя за каждый съеденный кусочек, не общалась с людьми, хотела быть наедине с собой. И еще очень бурно на все реагировала и часто плакала. Когда начала пить ""Флуоксетин""... то в первые дни чувствовала себя лучше. Меньше нервничала, улыбалась, спать стала лучше... даже аппетит немного появился. Но это все только длилось увы несколько дней(Даже когда дозу увеличили. все равно эффекта ноль. ",Отзыв рекомендуют:3,1
"Антидепрессант Озон ""Флуоксетин""",Юнона191,"Россия, Барнаул",+13,"Надо точно знать, чего хочешь от антидепрессанта.","Цена, эффект ""пофигизма""","Продается по рецепту (без него достать трудно), куча побочных действий (в т.ч. сбой менструации и либидо на нуле)","Принимаю не по рецепту, поэтому скажу сразу, что с врачом не консультировалась, и все, что могу далее сказать - исключительно мое мнение и оценка, а не медицинские советы. ",Отзыв рекомендуют:3,0
"Антидепрессант Озон ""Флуоксетин""",best-margo,"Россия, Новороссийск",+2,о да!,приводит в порядок нервишки сбивает аппетит до нуля отличная цена,огромные зрачки жуткий сушняк,Мой флуоксетин! ,Отзыв рекомендуют:3,0
"Антидепрессант Озон ""Флуоксетин""",MilanaS,"Россия, Москва",+1,Мечта анорексички,Единственный плюс для кого то - снижение веса,Возможная смерть,Флуокситин.,Отзыв рекомендуют:3,2
"Антидепрессант Озон ""Флуоксетин""",Quinzel,"Россия, Ярославль",+3,Спасение!,"умиротворение, побочек не было, либидо в обычном режиме, полное отсутствие агрессии. Цена!","На аппетит не влияет (выдумки, самовнушение)","На фоне депрессии поймала в общественном месте сильную паническую атаку. Я не сталкивалась ранее с психологическими проблемами и даже не знала что у меня депрессия, думала это такая же выдумка как дизбакториоз... Но, испытала на себе превратности депрессии. ",Отзыв рекомендуют:3,0
"Антидепрессант Озон ""Флуоксетин""",tatianachernuk,Россия,+44,Сильное средство,"Нормализует аппетит,лечит депрессию.",Если не превышать дозировку. нет.,Много лет меня мучает раздражительность и депрессия. В последнее время случилось очень много стрессов в моей жизни. Мучали так же периодические приступы жора.,Отзыв рекомендуют:3,0
"Антидепрессант Озон ""Флуоксетин""",labuznova,"Россия, г Новосибирск",+192,Помогает.,"Недорого, эффективно.","не похудела, вызывает привыкание.","Несколько лет страдала от разных видов недомоганий:усталость, головные боли, боли в спине, сердцебиение, судороги, лицевая невралгия, остеохондроз. Ходила по врачам, ставили уколы с витаминами и какими-то препаратами, но облегчение наступало не на долго. Тогда меня показали профессору, который и поставил диагноз: депрессия. Назначил лечение, но оно оказалось малоэффективно: боли становились всё сильнее, а от усталости я по нескольку дней не могла встать с кровати. Нашли мне другого врача которая выписала мне новое лечение- эффект был недолгим. Переехав в Новосибирск, я поняла, что из-за своего недомогания я не могу даже работать и закрыла свой бизнес. Уборка по дому вырубала меня дня на 2. Вопрос со здоровьем встал очень остро : иногда вызывала скорую, но врачи разводили руками, говорили, что они здоровых не лечат и рекомендовали витамины. Каждые 2 года я проходила диспансеризацию. Нашла доктора, который поставил диагноз и выписал мне Флуоксетин. Я понимала, что можно впасть в зависимость, что могут быть последствия... но тогда вопрос стоял так: "" Или ногу отрезать, или сама отвалится""- из двух зол пришлось выбирать меньшее. Ведь у меня на руках несовершеннолетний ребёнок и его надо вырастить и выучить. Принимаю уже 1,5 года. Облегчение почувствовала после 1 месяца приёма, когда зашла в большой супермаркет в котором у меня раньше начиналось сильнейшее головокружение и тошнота( как будто на сильной карусели тебя крутят). Симптомы стали мягче. В течении года почти прошли боли и судороги, общее состояние улучшилось. Я смогла устроиться на работу. Принимать Флуоксетин буду ещё года полтора- так сказал врач. Препарат продают только по рецепту и то не во всех аптеках. Говорят, что он способствует похудению- на меня это не действует, килограммы не уходят.",Отзыв рекомендуют:3,2
"Антидепрессант Озон ""Флуоксетин""",Катерина26,"Россия, Ессентуки",+19,еще больше вгоняет в депрессию,все индивидуально,само применение препарата,"Мне назначил Флуоксетин врач психотерапевт, в комплексной терапии с психотерапевтическим лечением. Эти таблетки я принимала два раза в день утром и в обед. Меня хватило на три дня. Три бесконечных дня жуткой депрессии, постоянной истерики, нежнлания жить. Хотелось орать на всех, говорить обидные слова и кинуться драться. Вот такая реакция у меня возникла на прие этого препарата. Я выжидала время, думала это просто побочный эффект первых дней, как это обычно бывает, но после трех дней этого кошмара, мне стало за себя реально страшно. Я смотрела на свою маленькую дочь и рыдала, что я умру, а она одна останется. После отмены Флуоксетина, все потихоньку стало восстанавливаться насколько это было возможно. Главное мысли о суициде меня покинули. После этого дала себе слово бороться с неврозом без таких серьезным медикоментов.",Отзыв рекомендуют:2,5
"Антидепрессант Озон ""Флуоксетин""",pengi,"Россия, Москва",+1,Никогда больше не вернусь к этому препарату,"Отсутствие аппетита, подавление эмоций при сильное депрессии","Головокружение, отсутствие любого рода эмоций, сонливость, состояние ""овоща""","Привет! Хочу рассказать как я села на этот препарат. Год назад был тяжелый период: уволилась с работы, депрессия, лишний вес... Все это вынудило меня поискать в интернете какой-нибудь сильный антидепрессант. ",Отзыв рекомендуют:2,7
"Антидепрессант Озон ""Флуоксетин""",leka3001,"Россия, Ростов-на-Дону",+4,хорошие таблеточки,"улучшение настроения, снижают аппетит, дешевые","не всегда действуют, много побочек","Начала принимать около полугода назад, с промежутками. Из-за того, что отбивает аппетит, чтобы похудеть. Эффект появился где-то через неделю, аппетита не было и настроение улучшилось. Не знаю из-за таблеток или нет, появилась головная боль сильная. Я испугалась и перестала их пить. Через месяца 2 снова начала. Вроде с головной болью проблем нет. Настроение отличное, стала меньше нервничать. Я заметила, что от производителя зависит их качество. ",Отзыв рекомендуют:2,0
