Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
Препарат Канонфарма Флуоксетин,мировая,"Россия, Новомосковск",+1717,вызывает ОСОЗНАННЫЕ сновидения и позитивное мышление:),неприлично дешево :),кому как,"пила когда-то я флуоксетин другого производителя http://otzovik.com/review_1278785.html, он мне не понравился вовсе. Не знаю, в чем дело, но этот флуоксетин дает мне замечательный эффект уже вот 3 месяца ежедневного приема. Пью его по 1-2 капсуле в день ...)",Отзыв рекомендуют:13,10
Препарат Канонфарма Флуоксетин,Alishnya,"Россия, Санкт-Петербург",+70,"Толи спасение , толи одной ногой в могиле",Сначала все будет радужно . Сначала...,Моя история показала всю боль от флу,Всем привет! ,Отзыв рекомендуют:2,0
Препарат Канонфарма Флуоксетин,p0lchik,"Россия, Чусовой",+1,Неплохой преп.,"Утром без проблем просыпаешься, зрачки широкие, мне нра)","глаза слезятся, сонливость","Решила попробовать для сушки, конечно с физ. нагрузками и правильным питанием. Всегда любила покушать, вне зависимости от времени, места, это-то мне и мешает ""подсушиться"". Также я постоянно на нервах, срываюсь не из-за чего на близких(изверг какой-то) это длится довольно долго, раньше помогал бокс, но пришлось уйти(свои причины). В общем из-за этих самых нервов кушаю я больше. Как начала принимать флуоксетин, примерно через 3 дня сразу был виден результат. Нет не кг ушли, а ушли нервы, в следствие чего и аппетита нет сильного. То, что нужно. Никаких кошмаров мне не сниться и всего остального бреда. Ничего страшного в флуоксетине нет",Отзыв рекомендуют:1,0
Препарат Канонфарма Флуоксетин,Alya Awesome,"Россия, Иркутск",+70,"Эффективный, недорогой","Снижают аппетит, улучшают настроение",вызывают привыкание,"Раньше думала, что Ланнахер выпускает лучший флу, но попались от Кананофармы и эффект не заставляет себя ждать: через сутки уже аппетит снижается, настроение улучшается, нормализует сон. Я не имею вредных привычек, не пью, хоть и занимаюсь спортом, но депрессивные состояния это не лечит, флуоксетин помогает смотреть на проблемы проще. Появляется такая ""безусловная любовь"" ко всем. Я сама работаю в больнице и консультировалась по поводу препарата с медицинским психологом, она мне рекомендовала в терапевтических целях пить по 10 мг в сутки, не более 3х недель- это безопасная дозировка, не вызывающая привыкания. Стоит понимать, что антидепрессанты- это не панацея и все время на них сидеть - опасно для здоровья.",Отзыв рекомендуют:1,0
Препарат Канонфарма Флуоксетин,Ritori889,"Россия, Калуга",+40,"Антидепрессант, который поможет вам, а может и наоборот","Не дорогой, Помогает похудеть, Кому-то помогает избавиться от депрессии","Вызывает привыкание к компонентам, Может сделать еще хуже чем было","Препарат очень спорный на мой взгляд по действию. Производитель описывает в инструкции кучу побочных действий и он прав. Помимо того, что препарат может не помочь, он может угробить ваше здоровье еще больше. Так что ни в ком случае не покупайте его без рекомендации врача. ",Отзыв рекомендуют:1,0
Препарат Канонфарма Флуоксетин,LIKUSHA,"Россия, Рыбинск",+5711,Никому не советую! Ужасный препарат.,"можно похудеть, цена",сплошные минусы,"Страдаю вегето-сосудистой дистонией по типу панических атак долгие годы. Много препаратов, которые помогают справиться с этой проблемой, перепробовала.",Отзыв рекомендуют:43,11
Препарат Канонфарма Флуоксетин,LanaPeter,"Россия, Москва",+411,мутное сознание,нет,вредно,"Приняла сегодня впервые ""Флуоксетин"", с целью снизить аппетит. Весь день чувствую себя как овощ, голова болит, аппетит не исчез. Все вокруг как - будто заторможенное, а я участник фильма. Зрачки расширились, как у наркомана. ",Отзыв рекомендуют:1,0
Препарат Канонфарма Флуоксетин,Sinergita,"Россия, Хабаровск",+55,"Состояние ""счастливая свинья""",Помогает,много побочных эффектов,"Депрессию лечит это однозначно, но самостоятельно принимать не рекомендую, есть разные стадии депрессии, при некоторых формах утяжеляет, были случаи суицида после приема. ",Отзыв рекомендуют:1,0
Препарат Канонфарма Флуоксетин,Provizorova,"Россия, Одинцово",+101,Двояко...,"Спокойствие , уравновешенность , но это временно","Снижение полового влечения, невнимательность , рассеянность","Итак, уважаемые читатели, довелось мне испытать на себе такой препарат как флуоксетин... Такие жизненные обстоятельства нынче у многих, что волей не волей приходится обращаться к психотерапевтам. Я не исключение. Диагноз-послеродовая депрессия. Назначение-флуоксетин капсулы 20 мг по одной в день с утра в течении полугода минимум... Честно признаться, так как сама имею прямое отношение к медицине, но самолечением не занимаюсь, все же засомневалась я как то в целесообразности приема данного препарата для себя любимой. Думала я неделю, боялась подсесть на такие лекарства, но слова доктора «заодно и похудеете» взяли верх... И вот я, как человек запасливый, купила препарат впрок, сразу несколько упаковочек... ну чтобы не ходить лишний раз ... Приём первой таблетки начала в присутствии мамы ( мало ли что может со мной случиться, я ж одна с двумя детьми ). Что ж, приняла как и полагается, утром, стала ждать. Но никаких побочных эффектов в этот день не обнаружила (кроме того что меня от страха трясло))). Через пару дней приема заметила небольшое головокружение, а также главный для меня минус - невозможность нормально управлять автомобилем. А именно, садишься за руль и мозг просто будто отключается. Появляется какое то бесстрашие, снижается концентрация внимания, невозможно быстро принимать решения. В таком состоянии я ездила 5 дней, думала что придётся временно ездить общественным транспортом. Но все прошло внезапно, как и началось. Головокружение также прошло. И далее несколько недель все было в обычном жизненном ритме. Через месяц приёма я начала замечать улучшения состояния-ушли страхи, пришло состояние равновесия, рассудительность, умиротворение, я стала спокойнее реагировать на проишествия, которые раньше вызывали гнев. Но также пришло отсутствие полового влечения... и желания секса в принципе... Я читала про эти частые побочные явления, и поэтому была к этому готова. Мне было важно полностью прийти в себя, о дальнейшем не думала. Еще через неделю муж стал замечать появившуюся агрессию, далее её заметила и я(муж не знал о приеме мною данного препарата ). Далее агрессия перешла на всех домочадцев, препарат пришлось резко прекратить принимать спустя 2.5 месяца приема. Синдрома отмены никакого не было, я сразу пришла в себя. Желание «любви» восстановилось через несколько недель. Кстати, по поводу заявленного снижения аппетита, скажу лишь одно - как был аппетит отменный так и остался и во время приема флуоксетина и после его прекращения ... Резюмируя все выше мною изложенное, скажу лишь одно. По моему мнению препарат был подобран мне неправильно, он не убирает агрессию, импульсивность, он лишь усугубляет данные явления. Да, он помог чувствовать себя лучше, начать выходить из депрессии, но он будто делает из человека робота, просто с минимумом набора эмоций и желаний ... Так что следует взвесить все за и против перед приемом данного препарата, ведь побочных явлений может быть гораздо больше чем у меня !",Отзыв рекомендуют:0,1
Препарат Канонфарма Флуоксетин,Kris2412,"Россия, Санкт-Петербург",+39,Просто спасение!,"Эффект, цена","Изжога, постоянно пить нельзя","Изначально выписал врач при диагнозе «затяжная депрессия». До этого обычные успокоительные без рецепта не помогали вообще. Я думала, что таблетки в таком случае и не помогут. Пробовала флуоксетин без особой надежды, но он превзошёл все ожидания. ",Отзыв рекомендуют:0,0
Препарат Канонфарма Флуоксетин,Sherridanin,"Россия, Москва",-0,Тошнота не стоила того эффекта,Почти нет,Тошнота Рвота Состояние тупого овоща Апатия Невозможно есть вообще,"Доброго времени суток, хотела бы рассказать о своём впечатлении о препарате Флуоксетин Канон. ",Отзыв рекомендуют:0,0
Препарат Канонфарма Флуоксетин,Tania-2019,"Россия, Москва",+1,"очень ""грязный"" препарат ярко выраженные ""побочки""",нет,"потливость, головная боль, тахикардия, повышение АД","Пишу отзыв, потому что сама принимала этот препарат и осталась крайне недовольна.",Отзыв рекомендуют:0,0
Препарат Канонфарма Флуоксетин,Lelya7777,Россия,+14,Первый раз - действительно помог,"Депрессия на время ушла, хороший сон, похудела",Много побочных эффектов,"Препарат мне назначила врач-психотерапевт. Первый раз действительно был хороший результат. Депрессия отступила, спала ""как убитая"", сильно похудела. Правда весь день была как ""варёная"", даже двигалась через силу, не говоря уже о эффективной работе. Приходила с работы и сразу вырубалась. А когда решила пропить Флуоксетин во второй, третий раз, результатов не было вообще никаких. И на нервную систему никак не подействовал, и ни капли не похудела. Или другой производитель, или просто на организм одно и то же не действует несколько раз. А пить эту химию специально для похудения я бы не стала, слишком побочные эффекты сильные (целый список).",Отзыв рекомендуют:1,0
Препарат Канонфарма Флуоксетин,lalka787,"Россия, Красноярск",+420,Мне очень помог.,Успокаивает,Не во всех аптеках продают,"Отличный препарат при булимии и стрессе. Начала его употреблять с целью снижения веса, но жиросжигателем он не является. Очень хорошо перебивает голод и отбивает желание кушать все подряд. С его помощью можно просидеть на голоде несколько дней, но передозировка может привести к неприятным последствиям. Чтобы меньше навредить здоровью употребляла совместо со слабительным и не испытывала при этом никакого дискомфорта. Также действует как успокоительное средство и приводит нервы в порядок, но иногда появлялась силная сонливость. В целом результатом я довольно, который выражается в потери 30кг.",Отзыв рекомендуют:2,4
Препарат Канонфарма Флуоксетин,Qwedsacxz,"Россия, Сызраню",+3,хороший ад,да есть,пока нет,"Начал принимать примерно дней двадцать назад, ушла тревога, нервозность снизилась, плохие мысли ушли, например такие как, заниженная самооценка, но с недавнего времени нужен рецепт, но это не проблемма, нужно всего лишь обратиться к врачу",Отзыв рекомендуют:1,0
