Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Ланнахер ""Флуоксетин""",Dashka13,"Украина, Kiev",+10,Эффективное средство или как пережить болезненный период в своей жизни,"Эффективность, быстродействие.",Побочные эффекты,"Случилось так в моей жизни, что я потеряла важного для меня человека, которого очень любила. С ним всё хорошо, он жив-здоров, если вдруг кто-то что-то подумал. Да-да, для кого-то это не так важно было бы, кто-то сказал бы найдешь другого, забудешь и т. д. Но для меня это был очень сильный удар. Надеюсь, что некоторые меня поймут здесь. ",Отзыв рекомендуют:6,0
"Антидепрессант Ланнахер ""Флуоксетин""",vivas,"Украина, Хмельницкий",+36159,Больше не хочу!,"Вместе с амитриптиллином - есть эффект, которые нивелируется прекращением приема","много побочек, ощущение ""не себя"", странные эффекты",Этот препарат был назначен мне при депрессиии вместе с ,Отзыв рекомендуют:27,12
"Антидепрессант Ланнахер ""Флуоксетин""",Tatiana28,"Украина, Харьков",+57,Действенный препарат,есть не хочется,Огромное количество опасных побочных реакций,"Препарат действительно действующий. Принимала пару лет назад, по рекомендации знакомой, через нее же и покупала, так как продается он только по рецепту. Блокирует чувство голода напрочь! Есть не хочется совсем и может не хотеться по несколько дней. Но имеет очень много побочный эффектов-начиная от головокружения, тошноты, постоянного чувства депрессии. На протяжении приема все время ощущала какое то чувство тревоги, плохо спала, хотя спать хотелось постоянно. Головные боли замучали... Вообщем, что сказать ... это медицинский препарат и принимать его стоит только по назначению врача и только под его контролем потому как последствия приема могут быть очень опасными!! Не рекомендую однозначно!! Берегите свое здоровье!",Отзыв рекомендуют:4,0
"Антидепрессант Ланнахер ""Флуоксетин""",Pavlo176,"Россия, Благовещенск",+147,"Похудеть чуть- чуть помогло , состояния ""По фиг на все "" не было","Перестаешь есть , похудеть реально",очень много по бочек,"Принимала Ланнахер ""Флуоксетин"" от сильной депрессии. В общем по бочка была только один раз в первый день, немного странное состояние, голова не на месте, покалывание в кистях рук, и чуть чуть слабость. На второй день ни чего похожего не было, как и не было эффекта "" По фиг на все "", начиная с третьего дня я уже пила по две капсулы в день, и тоже не заметила ни какого эффекта, весила я не так то и много 56 зимой, к лету я похудела до 47 кг. При этом я пила алкоголь, и никакой тошноты, головокружения, суицидальных мыслей не возникало ( такие мысли у меня остались в подростковом возрасте )) .",Отзыв рекомендуют:4,0
"Антидепрессант Ланнахер ""Флуоксетин""",Иван Дог,"Россия, Москва",+2,Не справился с поставленной целью,снимает раздражение,мешает водить авто,"Купил его в аптеке по рекомендации врача, но эффекта особого не увидел. Да, стал не так раздражителен, но хотелось вообще отвлечься от всего. Причем предполагалось, что они никак не будут влиять на мое вождение авто. Ан нет... Внимание явно отсутствует. Причем мало того, что голова затуманенная, так еще к вечеру и разболелась.",Отзыв рекомендуют:3,0
"Антидепрессант Ланнахер ""Флуоксетин""",cloud nine,"Россия, Москва",+14909,Немного о применении не совсем по назначению,"Действует, снижает аппетит","Сонливость, кошмарные сны","О данном препарате я узнала не из кресла доктора, а из пабликов вконтакте про похудение. Расстройства пищевого поведения меня преследуют уже почти 8 лет... Но это уже не совсем по теме. В общем, принимать флуоксетин я начала от компульсивного переедания и булимии. Сразу скажу, что в аптеке почти нереально приобрести этот препарат без рецепта, поэтому заказывала через интернет. Принимать начала по 60мг три раза в день и мне действительно помогло: желание обжираться пропало, настроение стабилизировалось и было немного приподнятым. Однако, эффект длился недолго, через пару недель все стало как и прежде из чего я сделала вывод, что выработалось привыкание. В итоге бросила пить и больше, скорее всего, баловаться этими таблетками не буду. А если и буду, то принимая только небольшими курсами. Из побочных эффектов: сонливость постоянная, снились кошмары, пониженная эмоциональность. Хотя последнее не факт, что для всех это минус - мне с моей работой только на руку это было. Не могу никому посоветовать, все-таки это серьезный препарат, и в инструкции описан внушительный список побочных эффектов, но если уж решились то:",Отзыв рекомендуют:4,0
"Антидепрессант Ланнахер ""Флуоксетин""",Вальцер,"Россия, Москва",+5,Для апатичной депрессии,Цена; придаёт активность.,"Усиление тревоги; бессонница, ажитация.","Данный препарат был назначен мне для лечения невроза, на фоне которого была выражена тревога. Начинал приём с 1 капсулы (20 мг). К сожалению, при приёме Флуоксетина обострилась агрессия, стал плохим сон, постоянно хотелось что-то делать, но при этом тревога лишь обострилась. В общей сложности пролечился препаратом 3,5 месяца, поднять дозировку не выходило из-за выраженной побочки (ПА становились сильнее). ""Прикрытие"" транквилизатором не спасало, увы. ",Отзыв рекомендуют:3,0
"Антидепрессант Ланнахер ""Флуоксетин""",Kappadoki,"Россия, Красноярск",+17,Реально работает но есть побочки! Лучше 100 раз подумать...,"Низкая цена, практически 100% эффективность.",Много как минимум неприятный и как максимум опасный для здоровья побочек.,"Доброго всем дня! Вопрос сброса веса волнует многих. Не буду писать о том, сколько методов пришлось опробовать на себе в поисках идеального (и индивидуального). Для себя я поняла что главная причина моего лишнего веса это постоянное желание есть и тут же пришло решение: необходимо средство притупляющее аппетит! И решение было найдено в секции антидепрессантов. ",Отзыв рекомендуют:3,0
"Антидепрессант Ланнахер ""Флуоксетин""",steele837,"Украина, Донецк",+20,Помогал избавиться от депрессии во время приема,"Не дает думать о проблемах, возвращает в реальную жизнь ""здесь и сейчас""","Тупит, тормозит, не совместим с алкоголем, тошнит от еды",В свое время принял 20 шт (переборщил с дозировкой по причине подростковой глупости и непонятной депрессии),Отзыв рекомендуют:3,0
"Антидепрессант Ланнахер ""Флуоксетин""",Пигмалион0077,"Россия, Олимпийская столица Сочи",+11045,Очень хороший препарат!,"Эффективность, недорогая цена, минимум побочных эффектов","Побочный эффект в виде маловероятного возможного самоубийства, серьёзное снижение потенции, ненавязчивое ощущение ""не себя""","Доброго времени суток, уважаемый читатель моего отзыва!",Отзыв рекомендуют:14,8
"Антидепрессант Ланнахер ""Флуоксетин""",Exceed,"Россия, Москва",+3,Работает (дополняю по ходу приема),"Работает, дешево",Умеренные побочные эффекты,Буду дополнять отзыв по мере приема препарата.,Отзыв рекомендуют:3,0
"Антидепрессант Ланнахер ""Флуоксетин""",LiliD,Россия,-0,Спас от депрессии,"Похудение, улучшение настроения","Головная боль, много побочек","Очень долгое время я страдала от депрессии. Просто не хотелось вставать с кровати, с кем-то разговаривать, что-то делать. ",Отзыв рекомендуют:2,0
"Антидепрессант Ланнахер ""Флуоксетин""",Ксения Рогозина,"Россия, Новосибирск",+112,Незначительно окрыляет),"Появляется мечтательность, захотелось жить.","Вялость, апатия.","Окрыляет, не окрыляет, а уносит мысленно куда-то, ты как-бы здесь. Но как-бы нет. Трудновато сосредоточиться. Пила по одной капсуле. Уменьшения аппетита не заметила. Пробовала как Ланнахер, так и других производителей. Не впечатлил. Побочки- сонливость, неглубокий поверхностный сон, в связи с этим и утомляемость и раздражительность. Склонность к анализу, размышлению. ",Отзыв рекомендуют:2,1
"Антидепрессант Ланнахер ""Флуоксетин""",LudmilaK87,"Россия, Москва",+762,Не хило действует на психику,"Временное повышение настроения, нормализация ЖКТ","Головные боли, раздражительность при длительном приеме, заторможенность","Решила попробовать данный препарат в качестве эксперимента по снижению веса и не надо меня осуждать за это, я понимаю все последствия подобных экспериментов. пишу все как было. ",Отзыв рекомендуют:2,0
"Антидепрессант Ланнахер ""Флуоксетин""",Senshi,"Россия, Павловский Посад",+24,Помог жить дальше,Борьба с депрессией и другими тяжелыми состояниями Притупляет голод,Возможно жжение,"В один прекрасный момент моя жизнь перевернулась. Начались панические атаки, которым предшествовала депрессия, агорафобия. Я, к сожалению, не думала, что все, что происходит с моим телом, это из-за психики. Долго лечилась, ходила по многим врачам, ничего не помогало, пила ""Атаракс"", ""Фенибут"", ""Феварин"" (самое жуткое, что мне выписывали) много еще каких-то лекарств, но после того, как мне выписали ""Флуоксетин"", я смогла наконец-то снова начать жить, как раньше. Снова выходить на улицу без помощи кого-то, в кабинете врача сидела без паники, через время смогла сама проехаться в автобусе, сидеть на парах. ",Отзыв рекомендуют:2,0
"Антидепрессант Ланнахер ""Флуоксетин""",Людмила2838889,"Россия, Владивосток",+4,Очень мягко действует. Без побочек,"Мягкое действие. Нет эффекта ""счастливой свиньи"")))",ВСЕ Флуоксетины могут вызывать вначале головную боль и прыщи,"Предпочитаю его другим производителям. Опыт приёма Флуоксетина очень большой. Лет 7 точно. Действие наступает мягко и незаметно - просто недели через две -три понимаешь, что утро приносит радость. Но эйфории, как например, от Озоновского Флуоксетина нет. ",Отзыв рекомендуют:2,0
"Антидепрессант Ланнахер ""Флуоксетин""",DST,"Россия, Вологда",+5,До сих пор их пью,"Эффективность, безопасность","Побочные эффекты, принимать с осторожностью (не противоречит плюсу ""безопасность"", там совсем про другое)","Когда мне врач прописал их, я сразу побежал читать отзывы. Перепугался конечно. Писали, что и с ума от них сходят, и то, и сё. Начал пить. В первые три дня впал в медикаментозную депрессию, была очень сильная апатия, пропал интерес ко всему вообще. Потом более-менее выровнялась ситуация и стало легче. Главное - переждать первое время, эффект наступает не сразу. ",Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",Павла Ивонина,"Россия, Пермь",+37,Эффективное средство для лечения головных болей,Эффективный,нет,"Хочу поделиться своим опытом применения Флуоксетина. Флуоксетин имеет антидепрессивное и анорексигенное действие. Его применение гарантирует улучшение настроения, исчезновение суициидальных направленностей, а также снижение аппетита. ",Отзыв рекомендуют:5,0
"Антидепрессант Ланнахер ""Флуоксетин""",erm-lyu,"Россия, Санкт-Петербург",+91,"Помогает при проблемаж с желудком и кишечником, но имеет очень серьезные побочныедействия","улудшает настроение,помогает при проблемах с желудком и кишечником","продается по рецепту,серьезные побочные действия","Упаковка флуоксетин Ланнахер по 20 мг и 20 капсул. Препарат немецкий, оригинальный. Лучше покупать его, чем отечественные аналоги. Хотя может от наших и побочки поменьше. Выписывается строго по рецепту. Может выписывать и терапевт и психотерапевт. Рецепт не отбирали. И пол-года можно было по нему покупать лекарство.",Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",LolitaBrik,"Россия, Верхняя Пышма",+9,Помогает при булимии.,Эффективный препарат.,Множество побочных действий.,Всем привет С: ,Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",AveMaria111,"Россия, Москва",+1,Плохо.,Цена,После приёма становится ещё хуже.зависимость.,"У меня были депрессии, тревога, булимия, вообщем целый букет психических расстройств и заболеваний. И мне прописали флуоксетин. Первые 2 недели приема, для меня были сущим адом: я не могла спать вообще, моя тревога усилилась, я очень много стала есть(усилились приступы булимии), была очень раздражительной, появились суицидальные мысли. ",Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",Mashgori,"Россия, Москва",+7,"Я похудела,но с него невозможно слезть","Отсутствие аппетита,абсолютный пофигизм",Страшные побочные эффекты и привыкание,"Прописали в 2010 году при нервной булимии, начинала я с 40 мг, первую неделю приёма не была никаких из перечисленных в инструкции побочных эффектов, когда я увеличила дозу, меня стали посещать паннические атаки, приступы удушения и равнодушие, тотальное равнодушие и сухость во рту. От флу не хочется спать, есть и вообще ничего. Так же он очень понижает либидо. За месяц приёма я потеряла 6 кг, на 3 неделе приёма аппетит пропал совсем, при этом энергия была и я не чувствовала усталости, спокойно работала по 12 часов ничего при этом не кушая. Можно найти без рецепта в интернет аптеке.",Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",veryhappygirl,"Россия, Архангельск",+117,Хороший антидепрессант при лечении алкоголизма! Устраняет тревогу!,"Уменьшает тягу к спиртному, аппетит, снимает раздражительность и нервозность!","Пить утром, чтобы не было бессонницы! Недорогой препарат!","Вот уже на протяжении нескольких лет в нашей семье поселилась беда - мой брат алкоголик. У кого в семье есть подобные проблемы, тот поймет, какая это соцзависимость от пьющего, и какие мучения и страдания приносит это в жизнь родственников. ",Отзыв рекомендуют:2,0
"Антидепрессант Ланнахер ""Флуоксетин""",зззнаток,"Россия, Иркутск",+558,И я пью и подруга...,Цена. Борется с депрессией.,Нет,"Доброго времени суток, уважаемые читатели. Сегодня хочу поделилится опытом после применения такого препарата как флуоксетин. Препарат этот является антидепрессантом с довольно таки мягким действием. По разным причинам у каждого человека бывают нервные срывы, кто то из таких состояний выходит самостоятельно, а кому то нужна медикаментозная помощь. Мне как раз и нужен был подобный препарат, терапевт мне посоветовала купить легкий, как она сказала, препарат, который отлично поможет справится со стрессом. Придя в аптеку за препаратом меня удивила ценовая категория, стоимость у него 60 руб. Это безусловно плюс. Далее, после применения флуоксетина длительностью в 4 дня, я заметила положительные сдвиги в моем самочувствии, а именно: спала я как и раньше продолжительностью в 5 ч, но промюсыпалась я абсолютно отдохнувшей! А это значит, что внимание на работе лучше, самочувствие лучше, и разжражительность исчезла сама собой! Я очень довольна этим препаратом, посоветовала его подруге, та в свою очередь посоветовала маме. Но отдельно хочу отметить, что перед применением все таки нужно проконсультироваться со своим лежащим врачем и ни в коем случае не заниматься самолечением. ",Отзыв рекомендуют:2,0
"Антидепрессант Ланнахер ""Флуоксетин""",Darrrina,"Россия, Казань",+90,Действительно помогает,"Снижение аппетита, цена","Со временем требуется повышать дозу применения, т.к. происходит привыкание","Препарат Флуоксетин мне назначил психотерапевт. Такие препараты можно пить только по назначению врача. Т. к. побочные эффекты конечно же есть. Но врач назначает определенную схему лекарств, что бы эти побочные эффекты проявлялись незаметно. Обычно, побочные эффекты проявляются только первые несколько недель, как раз на это время и назначаются определенные дополнительные препараты.",Отзыв рекомендуют:3,0
"Антидепрессант Ланнахер ""Флуоксетин""",Ionaaks,"Казахстан, Taraz",+3,Это того не стоит,Худеешь.отличное настроение . отсутствие аппетита,Боли в животе.,Здравствуйте все кто хочет попробовать Флуоксетин в качестве средства для похудения данный отзыв для вас. Опробовав на себе множество препаратов и методик похудения мой взор пал на хваленый флуоксетин. ,Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",Ms Indifference,"Россия, Севастополь",+5,"Коротко о том, как я чуда ждала!",Цена Эффект похудения,Побочные эффекты Рецептурный препарат,"Всем привет! Сегодня я расскажу о том, что не всегда быстро и легко значит полезно!",Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",Аноним2925092,"Россия, Владивосток",+1,"Относительно помогает, но не лечит","Убивает внутреннее тревожное состояние, успокаивает, прививает ""пофигизм""",Пониженная концентрация внимания (мешает работе),"Выписал врач невролог на приеме пропить 6-месячный курс флуоксетина в связи с тревожно-депрессивным расстройством. Выбор пал на импортный препарат ""Флуоксетин Ланнахер"". ",Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",daria-yurievna,"Россия, Москва",+5,"Флуоксетин - вещь, но не для всех!",есть эффект недорогой цена,действия ждать нужно долго длительный курс лечения заметно снижает либидо много побочек нельзя без назначения врача опасно принимать без контроля врача падение либидо,Флуоксетин (Прозак) – антидепрессант из разряда СИОЗС (селективный ингибитор обратного захвата серотонина).,Отзыв рекомендуют:1,0
"Антидепрессант Ланнахер ""Флуоксетин""",maksimovskikh11,"Россия, Уфа",+4,Самый любимый,Действительно можно похудеть,"Состояние овоща, тяга к самоубийству","Я не страдаю депрессией. Скорее я покупала его только для того, чтобы у меня пропадал аппетит.",Отзыв рекомендуют:0,0
"Антидепрессант Ланнахер ""Флуоксетин""",assia,"Россия, Санкт- Петербург",-0,"Для меня замечательное средство, но не всем подойдёт",Работает,По рецепту,"По рецепту к сожалению, долго искала по аптекам чтобы купить без рецепта... в общем, начиталась отзывов что побочки жесткие, тошнота, суицидные мысли и все в том духе, очень боялась начинать принимать. Но все же решилась, так как булимия и быть рабом своего мозга надоело (далее объясню почему)... ",Отзыв рекомендуют:0,0
"Антидепрессант Ланнахер ""Флуоксетин""",mood123,"Россия, Ярославль",+13,Помог мне в похудении.,Понижение аппетита,"Вялость,вечная мерзлота,нехватка сил.","Итак, каждая девушка в своей жизни хотела бы похудеть, при это желательно быстро и особо не затрачивая на этом энергию. Я просто хотела похудеть, неважно как. Мой рост составляет 151, а вес на тот момент 37. Я использовала различные диеты, которые мне тоже помогли, но флуоксетин был решающим.",Отзыв рекомендуют:0,4
"Антидепрессант Ланнахер ""Флуоксетин""",DaryaSavushkina,"Россия, Ростов-на-Дону",+13,Меня просто выручил,Действительно помог,Не выявлено,"Сегодня хотела бы рассказать об антидепрессантах флуоксетин ланахер. Таблетки мне выписал психолог. Я обратилась к нему в июне, мой диагноз- депрессия!",Отзыв рекомендуют:0,1
"Антидепрессант Ланнахер ""Флуоксетин""",amiras,"Украина, Луганск",+86,препарат подходит не каждому,недорогой и эффективный,зависимость,"Этот препарат мне посоветовала подруга, когда я находилась в депрессии. Прочитала на форуме отзывы тех кто пользовался и пила его строго по инструкции. Первые дни меня тошнило после принятия флуоксетина и была изжога. Потом на какое-то время самочувствие улучшилось, но периодически начало покалывать сердце. Дозу я пила всего 20 мг в день. Хотя, насколько я знаю максимальная доза это 40 мг и нельзя пить алкоголь во время принятия препарата. Потом, на некоторое время я перестала употреблять его и уже через время когда снова начала употреблять у меня в первый же день принятия резко заболело сердце. Эффекта похудения я не заметила. Скажу что после таких игр с препаратом у меня изменился гормональный фон. Возможно что это зависит только от особенностей каждого организма. Также после принятия препарата появилась некоторая зависимость. После того как я резко перестала его принимать у меня началась своего рода ломка, моё настроение менялось раз по сто на день и присутствовало состояние уныния. Если хотите прекратить принимать флуоксетин, то лучше делайте это постепенно снижая дозу. Не повторяйте моих ошибок.",Отзыв рекомендуют:0,0
"Антидепрессант Ланнахер ""Флуоксетин""",Lyolya0802,"Россия, Москва",-0,Хороший препарат,Успокаивает,Нет,"Было обжорство, стала принимать, аппетит пришел в норму, так же хорошо то что нельзя выпивать во время приема, очень останавливает от излишнего чревоугодия.",Отзыв рекомендуют:0,0
"Антидепрессант Ланнахер ""Флуоксетин""",Mironshax09,Узбекистан,-0,"Польза в побочках),научный подход","Высокая концентрация,спокойствие,понижение либодо,продление полового акта,хорошее в меру настроение.","Побочки :Бессоница,придется дополнительно покупать дорогие лекарства содержащие мелатонин.","Начал применять препарат Флуоксетин от Ланнахер для хорошей учёбы, т. к состояние было плачебное :апатия, лень, низкая концентрация, забитая самооценка. Именно в конце года когда надо поступать в мед. институт у меня начились проблемы, многие абитуриенты мне твердили, что у тебя всё хорошо, ты лучший, ты и так поступишь. ",Отзыв рекомендуют:0,1
"Антидепрессант Ланнахер ""Флуоксетин""",Elena814,"Россия, Благовещенск",-0,"Незаметно, но действует.","Действие есть, но не сразу и слабое","Побочные действия не сильные, но кошмарные сны","Прописала доктор этот препарат для улучшения настроения, для того, чтобы мысли тревожные пропали. Начала принимать, эффекта сразу не было. И кстати, аппетит он не убирает (лично мое наблюдение). Через недели две-три стала немного поспокойнее, но опять таки, ожидала большего. Не могу сказать, что я в восторге от этого препарата была... Да и вообще от таких препаратов не надо быть в восторге, лишь бы они оказывали заявленный производителем эффект. Принимать Флуоксетин можно, но мне он не подошел. Из побочных действий: сновидения кошмарные, снижение либидо. Больше ничего не заметила.",Отзыв рекомендуют:0,0
"Антидепрессант Ланнахер ""Флуоксетин""",Виолетта1978,"Россия, Москва",+1,"Это просто ""перезагрузка"" нервной системы!","Кардинально изменил мой характер к лучшему и расставил все точки на ""Ё""","Изжога, непроизвольные мышечные спазмы, длительный приём, действует не сразу.","Надо сказать, что я очень ярко переживаю так сказать переходные возрасты : подростковый, кризис 30ти лет... И вот мне 40 лет! Сама того не замечая, я перестала в свои выходные гулять, развлекаться, с кем-то встречаться. Короче замкнулась, мне хорошо одной, люди бесят неимоверно, но внешне я спокойна и вежлива. Хоть на работу ходила. Короче, ""тихо шифером шурша..."". Благо появилась плаксивость: проревела без причины неделю и только тогда забила тревогу и стала изучать по интернету своё состояние. В ПНД решила не идти: не так всё критично было, просто ну уж оооочень неинтересно было жить и бесили всё и вся. Сначала решила, что у меня начинающийся климакс, но по всем признакам у меня была депрессия и не просто депрессия, а затяжная, название ей дистимия, и длилась она, по моим наблюдениям, с 16ти лет (тогда у меня был сильный стресс в связи с переездом в другой город и т. д. и т. п.). Поспрашивав своих коллег-знакомых-медиков (я сама имею мед и фарм образование) про данную проблему, решила пропить один из старейших антидепрессантов Амитриптилин. Он мне не совсем подошёл плюс сильно неприятные побочки в виде недельного запора и повышения веса на целых 10кг всего за три недели.",Отзыв рекомендуют:0,0
"Антидепрессант Ланнахер ""Флуоксетин""",HellCat39,"Россия, Барнаул",-0,Хороший,"Помогает справиться с паническими атаками, хандрой.",Дороговат ~ 120-140руб за 20капс. по 20мг.,"Познакомился с ним, когда начались панические атаки. В транспорте/ на учебе/ в придомовом магазине. Везде. По несколько раз в день, на 30-40 минут.",Отзыв рекомендуют:0,0
