Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
"Антидепрессант Озон ""Флуоксетин""",Марина Гейдрих,"Россия, Можайск",+32269,Сильный антидепрессант.,"Заглушает боль (физическую и душевную) напрочь. Цена не бьёт по карману, мой препарат.","Отсутствие слёз, снижение артериального давления, пофигизм на всё происходящее, нечёткость зрения, головная боль.","Данный препарат-антидепрессант группы СИОЗС (селективных ингибиторов обратного захвата серотонина), правда другого производителя, вытаскивал меня из депрессии несколько раз.",Отзыв рекомендуют:69,30
"Антидепрессант Озон ""Флуоксетин""",Жучара,"Украина, Любимый.",+19352,Боже! Что со мной не так? или...почему я не похудела в отличии от остальных?,Легко переносится.,"Не эффективен для похудения, это точно!","Лишний вес и депрессия есть не у каждой женщины после 30, но у многих. Я - не исключение. Ситуация усугубляется еще и привычкой"" заедать"" проблемы и тревоги... Еще недавно я убеждала всех, что принимать подобного рода препараты -вредно и опасно. Но, чего греха таить, попробовала принимать ""Флуоксетин"" сама... О результатах тридцатидневного приема вам сегодня поведаю...",Отзыв рекомендуют:39,22
"Антидепрессант Озон ""Флуоксетин""",Velevla,"Россия, ОбновлениеПенза",+169332,На первый взгляд не уступает зарубежным аналогам),Эффективен,Есть побочки и противопоказания,"Приветствую вас, друзья и читатели)",Отзыв рекомендуют:138,26
"Антидепрессант Озон ""Флуоксетин""",мировая,"Россия, Новомосковск",+1717,"очень, очень странный эффект!","отвлеченность, эффект Алисы в стране чудес ;для некоторых -потеря веса.","равнодушие,потеря веса и либидо","Случились два года назад некие события жизненные, что повлекли устойчиво низкое настроение, апатию и нежелание вставать с кровати по утрам и жить. Тогда я, как настоящий экспериментатор, подумала, что помощью могут стать антидепрессанты. Флуоксетин-это очень дешевый российский аналог Прозака, что популярен за границей. ",Отзыв рекомендуют:14,8
"Антидепрессант Озон ""Флуоксетин""",Vedmaya,"Россия, Волгоград",+100,"Избавил от панических атак, вернул вкус к жизни.","Действительно помог, бысто прошли побочки",Не нашла,"Остеохондроз страшная и не приятная вещь, скажу я ВАМ, дорогие мои. Эта коварная болезнь маскируется под другие еще более страшные болячки. ",Отзыв рекомендуют:10,0
"Антидепрессант Озон ""Флуоксетин""",Bogatai8888,"Россия, Москва",+734,Вернул меня к жизни,Спас мне жизнь,"во время лечения пропало либидо, но после лечения всё стало даже лучше чем было до лечения","От нафтизиновой зависимости у меня начались панические атаки, а они в свою очередь спровоцировали сильнейшую депрессию, дереализацию. Что я пережила наверное до конца может понять только человек переживший что то подобное. Мир из цветного превратился в чёрно белый, полная потеря смысла жизни, беспричинная тоска от которой хоть на стену лезь, хоть волком вой, посещали суицидальные мысли так как выдерживать такое состояние уже не было сил, чувство безысходности и так изо дня в день, плюс ко всему временами наступала дереализация которая стирала грани реальности и казалось что сходишь с ума. Ни кому не пожелаю такого, это УЖАСНО. Я обратилась к психотерапевту которая выписала мне ""Золофт"" после первого же приёма этого препарата все мои симптомы усилились в разы, это чудо что я после приёма этого лекарства осталась жива, он категорически мне не подошёл и это притом что я приняла его в минимальной дозировке по совету врача я начала приём с 1/8, а что было бы если бы я выпила целую таблетку ? В интернете я случайно наткнулась на один из отзывов о препарате ""Флуоксетин"" исходя из предыдущего горько опыта по принятию антидепрессанта мне было очень страшно пробовать ещё один, но так как терять мне было нечего я решилась попробовать и после первого же приёма произошло ЧУДО по другому я просто не могу это назвать, я вдруг как будто пробудилась от кошмарного сна увидела солнышко, мир вокруг снова стал красочным я не могла сдержать слёз радости, счастье буквально переполняло меня, моему восторгу просто не было предела, ""Флуоксетин"" вернул меня к жизни когда я почти уже потеряла всякую надежду. Мне ""Флуоксетин"" подошёл на все 100 % Принимала я его только утром 1 раз в день в первую неделю по одной таблетки, начиная со второй недели я начала принимать по 2 таблетки с третий недели принимала по 3 таблетки, в общей сложности принимала 1 месяц. Либидо во время лечения пропало полностью, но после лечения всё вернулось и стало даже лучше чем было до. А вот на аппетит в моём случае ни как не повлияло и ещё как бонус который мне очень понравился и сохраняется до сих пор это, то что мне стало достаточно для того чтобы выспаться 7 часов, до этого мне и 10 было мало.",Отзыв рекомендуют:11,3
"Антидепрессант Озон ""Флуоксетин""",гена либерман,"Украина, Одесса",+164867,Это лекарство- антидепрессант! А лишь потом- всё остальное.,Эффективен при грамотном назначении,Многовато побочных явлений,Всем доброго времени суток!,Отзыв рекомендуют:36,6
"Антидепрессант Озон ""Флуоксетин""",delorean,Украина,+1,Флуоксетин - мощная штука!,"Флуоксетин, действительно, легкое и дешевое решение многих проблем. Выравнивает настроение, прекрасно справляется с мрачными мыслями, нервными качелями.Худеете реально, курить бросаете тоже реально. Пить Флу нужно утром, тогда весь день бодрячок.","Алкоголь! Во время приема Флу ни в коем случае. От бокала вина меня развозило в хламину, реакция может быть любая, да анафилактического шока. Не рискуйте, очень опасно.","Начала пить по назначению врача, был невроз и что-то там еще. Спать не могла, работать не могла, в общем- было очень плохо. Эффект от Флу почувствовала дня через 3-4, и через недельку состояние практически нормализовалось. Пропила месяц и только после этого начала РЕЗКО худеть. За все время (1,5 мес) похудела на 7 кг. Если не следить за питанием и не держать потом вес - все возвращается обратно! Аппетита реально нет, просто не думаешь о еде и кушаешь когда действительно необходимо. Под Флуоксетином идеально БРОСАТЬ КУРИТЬ! Курить не хочется вообще, сигаретная вонь даже противна.",Отзыв рекомендуют:11,0
"Антидепрессант Озон ""Флуоксетин""",LiSette,"Россия, Самара",+18,"Спасение нервов в его ""руках""",низкая цена,побочные эффекты,"Отличное средство при сильных стрессах и депрессии. Было время когда сильно хотелось мне похудеть и я постоянно сидела на различных форумах, сайтах, группах Вконтакте... Все там постоянно говорили о каком-то чудо-препарате называемом ""Флуоксетин"". Ну и решила я попробовать. И не зря! Кушать после него действительно не хочется, настроение отличное. К тому же цена довольно не большая. Второй раз решила его пить во время сессии, а точнее перед ней. Переживаний из-за экзаменов не было вообще! Так что сдать сессию оказалось делом не сложным, так как все проблемы из-за переживаний. ",Отзыв рекомендуют:8,0
"Антидепрессант Озон ""Флуоксетин""",Lapa121,,+37,"Лучшее, что было со мной.","Много чего, волшебные таблетки.",Все стало по фигу.,"Раньше я думала, что депрессию выдумали ленивые американцы, что бы на нее сваливать свою лень. Но недавно с ней я встретилась сама. При том, что депрессия меня захлестнула, когда казалось бы в жизни все стало налаживаться. ",Отзыв рекомендуют:7,0
"Антидепрессант Озон ""Флуоксетин""",Галина881,Россия,+713,"Хорошо помогает, стоит копейки","Успокаивает, но не затормаживает. Дешево",Нет,"Мне посоветовала коллега этот препарат, ей в период сессии он очень помог держать себя в руках, ничего не успевала, не высыпалась, нервничала итд. Я прочитала состав, побочные эффекты, почитала отзывы и решилась наконец то)) начала принимать утром по 1 капсуле о еды. Буквально через пару недель почувствовала, что раздражительность как рукой сняло.",Отзыв рекомендуют:11,7
"Антидепрессант Озон ""Флуоксетин""",Лапушка30,"Россия, Новосибирск",+10,Опасно для здоровых людей.,Не обнаружила.,Опасный препарат и принимать его действительно нужно только по рекомендации врача.,"В своем стремлении похудеть быстро и без особых усилий я наткнулась, на просторах интернета, на этот препарат антидепрессант ""Флуоксетин"". Предварительно я прочитала не мало положительной информации о нем. Отзывы в основном были такие "" и настроение хорошее всегда и худеешь"". Прочитала так же, что достать его без рецепта практически не возможно. Но я было уверена в себе и мое желание похудеть было выше всех преград))) Итак, в первой аптеке мне его не продали, так и сказали, что только по рецепту, но рядом, в аптеке напротив я прикупила 2 коробочки без особых усилий. Начала пить на следующий день утром, перед работой ( необходимо принимать по 1 таб. по утрам). Первый день-ничего, аппетит как всегда, настроение тоже. Второй день-уже к 11-00 часам на работе со мной начали происходить странные странности... точнее с организмом моим. Сложно передать это словами, но я попробую. Впечатление такое будто тебе оооочень весело, вот когда выпьешь прилично и тебе весело, но тогда ты понимаешь, что пил и все очевидно, а здесь вот это офигенное веселье, но ты понимаешь что не пил и от этого тревожность... Веселье, возбудимость и тревожность... Ехала я домой ( за рулем), так сказать "" огородами"", т. к. внимание рассеяно и собрать себя в кучу очень сложно... Дома с мужем сели и еще прочитали отзывы, и там они были уже не такие восхищенные) Они больше пугающие, про слегка потерянный рассудок, суицид как последствие. Вывод такой, возможно для людей, которые страдают депрессией и подобными растройствами, препарат поможет и как побочкой будет похудение, но здоровым людям категорически не рекомендую.",Отзыв рекомендуют:6,1
"Антидепрессант Озон ""Флуоксетин""",Аноним535332,"Россия, Москва",-0,"Ужассно,перешла на Нейрофулол, он хотя бы мне помогает и без побочек","нет, если только кому то надо сбросить вес","тошнота, рвота, сон совсем пропал, и так тошнотворное состояние еще и усиливается а не проходит","Флуоксетин довольно дорог, а для меня это важно, при чем при пропивании этого препарата мое состояние ухудшилось, появился озноб, дикая слабость, я вообще перестала есть Дикая ТОШНОТА, пришлось переходить на другой препарат Нейрофуолл кажется он действует стабильно и его можно сочетать с алкоголем ( ссори за такие подробности но на выходных иногда так хочется да праздники, дни рождения, увы без этого никак) я конечно знаю что не желательно но с другими таблетками вообще категорически нельзя",Отзыв рекомендуют:6,4
"Антидепрессант Озон ""Флуоксетин""",Nitatara,"Россия, Москва",+100,Хорошо помогает при адекватном назначении,"эффективен, легко принимать, низкая цена",необходима консультация врача,"Препарат флуоксетин мне назначил врач. Я жаловалась на нервозность, постоянно плаксивое настроение, депрессию, головные боли и тяжесть в голове. Назначил не просто так, а после ряда анализов.",Отзыв рекомендуют:8,4
