Название товара,Username,"Локация(страна, город)",Репутация,Заголовок отзывыа,Достоинства,Недостатки,Текст отзыва,Сколько человек рекомендует отзыв,Количество комментариев
Смартфон Apple iPhone XR,alexsul1,"Россия, Москва",+112,"Флагман, которого хватит надолго.",Емкость аккумулятора Дисплей Камера Мощность Бесконтактные платежи Операционная система Цена,"Выпирающая камера ""Челка"" 5-ваттный блок зарядки","Приобрел данный телефон полгода назад и с тех пор активно им пользовался. Так как я привык к компактным смартфонам, я думал, что он будет для меня слишком громоздким и неудобным, но ошибся: даже в чехле он лежит в руке удобно и прекрасно подходит для использования одной рукой. ",Отзыв рекомендуют:14,17
Смартфон Apple iPhone XR,poweredgucci,"Россия, Екатеринбург",+3,Неоднозначный смартфон,"Хорошая начинка, камера, iOS, Face ID, комплектация, цена ниже чем у других смартфонов X линейки.","Дешевый корпус, батарея, iCloud.","Привет! Недавно в связи с работой понадобился смартфон с iOS и мой выбор пал на iPhone XR с 64 гигабайтами памяти на борту. Очень порадовала быстрота системы и не самая плохая начинка смартфона. Face ID стал намного быстрее в сравнении с iPhone X. Очень сочный экран Liquid Retina - смотреть на картинку очень приятно глазу. Камера просто восхитительна, как впрочем в большинстве устройств Apple. В остальном - очень дешевый корпус, который выглядит явно не на 70 т. р. Выглядит он скорее как китаец с аликэспресс. Не совсем этого ждешь от устройства за эту сумму. Довольно средняя батарея для этого ценового сегмента. Без зарядки не выйти из дома. Стандартная для Apple устройств проблема с iCloud. И челка, которая вообще не понятно к чему.",Отзыв рекомендуют:7,0
Смартфон Apple iPhone XR,BatshitCrazy,"Россия, Владивосток",+14,Я в восторге.,"Внешний вид, дизайн, камера, операционная система, богатая политра цветов.","""Бровь""","Приобрёл я этот смартфон относительно недавно, может быть около месяца назад. Покупкой я более чем доволен, этому способствует как цена так и множество других приятных факторов: цветовая палитра, дизайн, операционная система и конечно же камера. Приятный дисплей с отличным олеофобным покрытием практически не оставят на вашем стекле отпечатков, FaceID - лучшее что я когда-либо видел, такие технологии на самом деле привносят безопасность и прогресс в наш мир! Большой объем батареи, которого хватает на 1-1.5 дня использования а так-же возможность беспроводной зарядки. Единственное что бросается в глаза это так называемая ""бровь"", но при перечислении вышесказанных достоинств это можно считать небольшим недоразумением. Рекомендую однозначно!",Отзыв рекомендуют:7,2
Смартфон Apple iPhone XR,AnnaFogg,"Россия, Москва",+3,Потрясающее качество,Качество фотографий и изображений,Нет,"С первого взгляда производит неизгладимое впечатление. Сам процесс покупки, коробка все красиво. Поражает количество цветов представленных для этой модели. Так сказать каждый найдёт себе по вкусу. Объём памяти теперь как и в предшественнике не маленький и хватает на все что может понадобиться. В коробочке помимо самого смартфона как и пологаеться зарядка, наушники, полезная макулатура и наклеечки. Как только снимаешь пленку с ещё не включённого телефона чувствуется качество. Просто восхитительный корпус! Очень качественная картинка. Получаются изумительные фотографии. Это явно отличный выбор для покупки!!!",Отзыв рекомендуют:6,0
Смартфон Apple iPhone XR,Tramvai,"Украина, Киев",+46,Хороший дизайн . Достойная камера .Быстрый в работе . Качественный экран.,Качественный экран Достойная камера Хороший дизайн,Цена Дорогой ремонт Сложно найти наушники Выпирающая камера,Компания Aplee славится своей продукцией на все мир. Это смартфон не стал исключениям.,Отзыв рекомендуют:8,0
Смартфон Apple iPhone XR,PabloMellamo,"Россия, Москва",+85,Глупость,цвета,"увеличенные рамки, одинарный модуль камеры, бессмысленный","Приветствую. Удалось познакомиться поближе с ""бюджетной"" версией последнего айфона. Постарался изучить его предельно подробно; а поскольку мой отзыв ориентирован на простого потребителя, то рассмотрю его только в рамках выполнения максимально привычных, повседневных функций. Кроме того, хотелось бы провести прямое сравнение с iPhone X. ",Отзыв рекомендуют:6,7
Смартфон Apple iPhone XR,Mildred,"Россия, Киров",+16,Интересный смартфон.,"Автономность, цена, ios.","Долгая зарядка, дефект экрана.",В ноябре 2019 года я стала обладательницей iPhone XR. Покупала его на официальном сайте Apple за 49990р и это отдельная история!,Отзыв рекомендуют:6,0
Смартфон Apple iPhone XR,Home critic,"Германия, Дрезден",+14,Технологии будущего,"Производительность, прочность, разные цвета корпусов.","Отсутствие 3D Touch, напрягает зрение,фонарик на экране блокировки, цена.","Каждый решает сам, стоит ли покупать столь дорогое устройство, но скажу по себе, что месяца эксплуатации смартфон Apple iPhone XR достаточно, чтобы понять стоит ли он потраченных денег.",Отзыв рекомендуют:5,0
Смартфон Apple iPhone XR,ЕленаОгонёк,"Россия, Калуга",+21,"Достойный выбор, если бы не одно НО! +сравнение камер 7 и XR","Батарея, влагозащита, размер, цена, звук, железо",фронтальная камера (имхо) и выпирание основной,Всем доброго времени суток),Отзыв рекомендуют:6,0
Смартфон Apple iPhone XR,sasha1489,"Украина, Киев",+33,"IPHONE однозначно оправдал ожидания, БАТАРЕЯ ТОП",-батарея -камера -производительность -дизайн,"Жалею, что взял версию с одной сим((",ВСЕМ ПРИВЕТ,Отзыв рекомендуют:7,0
Смартфон Apple iPhone XR,EvaBrendel,"Германия, Берлин",+21,Достойный телефон,Качество на высоте Память,Из нет,"Здравствуйте, хочу оставить отзыв о своём телефоне.",Отзыв рекомендуют:5,3
Смартфон Apple iPhone XR,Olga-belochka,"Россия, Санкт-Петербург",+118,"Качественный, но дорогой смартфон.","Современный дизайн, Бренд, Производительность, Камера",Батарея,Apple iphone xr попал ко мне в руки накануне Нового Года. До этого из техники apple я пользовалась iphone 5 практически 3 года и была его фанатской.,Отзыв рекомендуют:5,0
Смартфон Apple iPhone XR,Kolos3267,"Россия, Керчь",+1130,"Хороший, но денег своих не стоит.","Бренд, производительность, красивые фото, престижность, неплохое время автономной работы, быстрая камера.","Завышенная цена, непривычность к ИОС, недостаточная детализация и реалистичность фото, хотелось бы большего.","По той причине, что старый LG G4 может скоро двинуть кони, начал задумываться о его замене. Основной критерий - это качество камеры и автономность. Цена особо не принципиальна, потому как смартфонами пользуюсь долгое время, обновлением аппаратов каждые полгода не страдаю. Самые топовые модели не рассматриваю принципиально, из за экономических соображений. Волей случая, товарищ как раз приобрел афоню Xr, тут было грех не воспользоваться случаем и не сделать его ""тестинг"". Производительность, навороченность и прочие ""актуальные"" фишки не рассматривал, все внимание уделял качеству фото (именно фото) и времени жизни до подзарядки. Чтоб не тратить время зря, дождались вечера и отправились тестить.",Отзыв рекомендуют:4,0
Смартфон Apple iPhone XR,Макс Михайлов,"Россия, Нижний Новгород",+4,"Отличный смартфон, стоит своих денег.","Цветопередача, камера, размер, мощность акб, широкий выбор цвета корпуса.",Немного сложно в первое время привыкнуть к отсутствию кнопки домой и привыкнуть к Face ID при оплате покупок телефоном.,"Не надо никого слушать, если вы хотите IPhone XR, значит покупайте, и будьте уверенны что это сделано не зря. Два месяца пользуюсь уже, все круто, ничего не глючил, камера шик, дисплей просто бомба, фотки супер четкие, даже в пасмурную погоду получаются удачные кадры. ",Отзыв рекомендуют:4,0
Смартфон Apple iPhone XR,Alllena77,"Россия, Набережные Челны",+24,Модель на флагманском процессоре A12.,Мозный процессор; Отличная Камера.,Высокая цена.,"Смартфон компании Apple с нетипичным названием iPhone XR имён 6,1-дюймовый жидкокристаллический экран улучшенную камеру и 3 гигабайта оперативной памяти. Корпус алюминиевый, не царапается. Для большей надёжности смартфон оснащён функцией распознавания лица Face ID. Аккумулятор батарею держит очень хорошо, сутки спокойно модно обойтись без подзарядки. Разрешение камеры 12 мегапикселей позволяет сделать очень чёткие и яркие снимки, без шумов и смазываний, в том числе во время движения. Порадовало наличие портретного режима на фронтальной камере. Резкость заднего фона модно отрегулировать. Стильный, быстрый, мощный смартфон. Проблем со сборкой или нестабильность системы замечено не было. Отличный аппарат!",Отзыв рекомендуют:4,0
Смартфон Apple iPhone XR,Somola,"Украина, Доброполье",+18,"Стерео динамики ,большой екран, крепкая батарея, неплохая камера","Большой екран, крепкая батарея, классная камера, быстро летает, удобно лежит в руке , стерео динамики, разнообразие цветов корруса","Цена , нет рассылки смс, камера выступает за корпус",31 августа 2019 года я стала обладательниц ей IPhone XR на 64 GB классического красного цвета. Это мой первый айфон. И так начнём.,Отзыв рекомендуют:4,2
Смартфон Apple iPhone XR,punkn,Россия,+4,Прекрасный смартфон!,"Габариты, качество, внешний вид",Не нашел,"Рано или поздно телефон приходится менять. Давненько хотел что-нибудь от Apple, и, взглянув на цены, выбрал Iphone Xr. Перед его покупкой пользовался восьмым. Аккумулятор держит весь день (иногда пользуюсь несколько дней подряд), приложения запускаются в разы быстрее, гаджет не глючит, не тормозит. Экран намного ярче, чем у восьмого айфона, что очень заметно. Сигнал связи (4g в особенности) держит лучше. Face ID работает замечательно, с IOS проблем пока не наблюдалось. И вообще, очень классная версия бюджетного телефона от Apple, полностью оправдывает себя за свою относительно небольшую цену. Всем советую.",Отзыв рекомендуют:4,0
Смартфон Apple iPhone XR,Snowdenru,"Россия, Москва",+91,"Лучший в своей линейки, почему?","Дизайн, автономность, камера, Face ID, операционная система и экран.","Это премиальный телефон, цена будет высокой","Apple произвела на свет очень любопытный телефон, с одной стороны он стоит дешевле, с другой мы лишаемся комфорта в использовании. Так ли это? Нет, смартфон обладает лучшей производительностью на рынке. Во время использования не заметил никаких затормаживаний и зависаний. Я купил телефо и забыл о каком-либо дискомфорте на ближайшие 3-4 года минимум. Смартфон обладает основной камерой на 12 Мп. Он делает фотографии не хуже чем его дорогие аналоги. Съемка видео в 4к в 60 fps так же присутствует. iPhone XR фотографирует так же хорошо, как iPhone XS.",Отзыв рекомендуют:4,0
Смартфон Apple iPhone XR,Мора14,"Россия, Москва",+3,"Прекрасный смартфон. Есть недостатки, но они не значительны.","Самый мощный; улучшенный экран, Face ID и др.; отлично и четко Камера передаёт цвета; крепкий корпус","Нет 3D Touch; Корпус алюминиевый, а не стальной; местами попроще","Недавно приобрела данный смартфон, и он меня поразил! Отличное качество, также отмечу то, что он немного больше Айфона Xs, но меньше Айфона Xs. Я считаю, что это идеальный размер. И в целом на вид он сильно отличается и радует глаз.",Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,Subaristka,"Россия, Москва",+9,как всегда с яблоками-на пару лет удовольствия,"Размер, современность, скорость работы","цена, небольшая разница с предшественниками",Взяла в рассрочку 4 месяца назад ИксЭр ( ибо сразу отвалить 70.000 не поднялась бы рука),Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,n8trx,"Россия, Санкт-Петербург",+44,Отличный смартфон,"Дизайн, производительность","Камера, батарея",Доброго времени суток уважаемые читатели. Хочу поделится своим мнением о данном устройстве. ,Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,medvediegor,"Россия, Москва",+3,Телефон хороший.,"ДОСТОИНСТВА: новый аккумулятор, снятие блокировки лицом.","НЕДОСТАТКИ: цена, неоправданный шумок поднятый на пустом месте.","Технике apple отношусь спокойно, при выходе очередной новинки, судорожного восторга не испытываю. Я достаточно продолжительное время пользовался 5s и он меня всем устраивал, и при этом я не покупал его, выдали на работе. Так же как и этот выдали, я честно не вижу смысла покупать Xr за 65 000, из существенных различий отмечу только разблокировка по лицу. Как 5s был прямоугольным так и этот, 5-ый которым я пользовался, тянул абсолютно все приложения необходимые мне по работе, у меня не было проблем ни с игрушками ни со специализированными программами, единственный огромный минус это сильно под уставший аккумулятор, что и послужило причиной замены на новый.",Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,Irina sun,"Россия, Уфа",+36,Iphone XR отличная рабочая лошадка :),"аккумулятор, скорость, внешний вид, не скучный","для телефона достаточно дорого, но для яблока, конечно, бюджетная модель :))))","Отношения с Яблоком у меня продолжительные :))) первое время абсолютно не понимала для чего, зачем переплачивать такие деньги, если можно на андройде прекрасно существовать, например, на asusе... ",Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,eaziii,"Россия, Севастополь",+5,Полностью доволен,"Быстродействие - всё очень быстро открывается, загружается. Батареи хватает при постоянном пользовании на два дня","Практически нет, знал что брал, главный страшный момент это ношение без чехла. Лучше сразу взять чехол и поп-сокет для подстраховки и удобства","Отличная автономность, у меня хватает на 2 дня легко. Внешний вид супер, хотя чехол все равно все скроет. Оригинальных чехлов нет, но все знают где их взять. Возможности IOS меня до сих пор поражают. Закрытость системы для меня только плюс. Оценивать IPhone за возможность поиграть в игры и послушать музыку считаю кощунством, это может любой китайский смартфон. Про комплектную зарядку подробнее хочу сказать. Есть у меня 12W зарядка от Apple, на сайте сказано что она универсальная для почти всех гаджетов Apple. XR заряжается от нее быстрее, но заряд держит меньше. А комплектной зарядишь - живет дольше... Хотя и заряжает она больше 3 часов, и греется при этом прилично, но все же...",Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,Kseroks,"Россия, Липецк",--8,Одним словом это Apple. Он лучший всегда.,"Время работы, скорость работы, плавность. Apple",не обнаружила,"Внешний вид не сильно отличается от iPhone X. Разница в алюминиевой рамке вместо стальной, увеличенной диагонали 6,1, наличием одной камеры вместо двух и он толще и слегка тяжелее. Кнопки Home нет, но это уже не нововведение. Ее нет на всех последних моделях. Первые пару минут неудобно, потом привыкаешь) Раз нет кнопки Домой, значит нет и Touch ID. Face ID работает восхитительно. Я поначалу даже не поняла, что он уже включен. Так как срабатывает действительно мгновенно. На деле дисплей отличный. Цветопередача просто шикарная, пикселей не видно, никакой зернистости. Недаром Apple заявляет, что это:",Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,Nika197,"Россия, Нижний Новгород",+109,Роскошный темно-красный корпус и идеальная начинка,Замечательный смартфон без излишеств как во внешнем виде так и внутри,Нет,"При первом взгляде на смартфон IPhone XR на ум сразу приходит ассоциация, что перед тобой дорогое красное вино с многолетней выдержкой. Ведь именно таким словом можно охарактеризовать цвет корпуса данного смартфона. Это не просто красный цвет, каким мы его привыкли видеть, это, скорее даже больше вишнёвый или бордовый цвет с оттенком красного. Дорогой и не раздражающий глаз цвет. На крышке батареи мы видим то самое знаменитое яблоко серебристого цвета, которое также очень гармонично сочетается с чёрным цветом экрана и бордовым корпусом. Потому что золотой цвет либо чёрный был бы не так удачен, на мой взгляд, конечно же.",Отзыв рекомендуют:4,0
Смартфон Apple iPhone XR,Marina969,"Россия, Краснодар",+7,Я довольна,"Камера, держит батарею",Нет,"Пользуюсь Apple очень давно, и им не изменяю. Я в восторге от своего нового телефона. Камера просто супер, телефон работает молниеносно ... До этого был седьмой, тоже довольно неплохой, но ходила я с ним очень долго, поэтому решила обновить модель. Долго выбирала между ХR и 11-м. Все же роль сыграла цена, хотя очень хотелось последнюю модель. После семерки нужно конечно привыкнуть, консультировалась у знакомого по некоторым функциям)) В основном все тоже самое, но привыкнуть надо. Батарею держит долго, что для меня очень важно, звук тоже супер. Взяла страховку на всякий случай, мало ли... В общем, без претензий, сплошные плюсы.",Отзыв рекомендуют:3,0
Смартфон Apple iPhone XR,Flashka18,"Россия, Ижевск",+121,Цветастенькая мощь,"Дизайн, железо",Цена,"Доброго времени суток, дорогие мои читатели. С вами снова ваш гид. Сегодня рассмотрим новый флагман (да, это не бюджетная версия Айфона, а именно флагман) от компании Apple. Поехали. ",Отзыв рекомендуют:2,0
Смартфон Apple iPhone XR,ser4ak,"Украина, Харьков",+8,Идеальное соотношение цены и качества,"Хорошая батарея, 2 симки, функция портретной съемки с фронтальной камеры и с основной","Тяжелый, большие рамки",Всем привет!,Отзыв рекомендуют:2,1
Смартфон Apple iPhone XR,amyjouline,"Казахстан, Semey",+15,сбылась мечта детства,"Размер, память, процессор, камера",цена,"Дело в том, что когда я была маленькая ( ну не совсем ) класс 5-7, айфоны начали набирать свои обороты и у каждого ребенка в классе он был, мои родные не могли позволить себе такой роскоши. И вот спустя каких-то, гхм лет, я устроилась на работу и первым делом приобрела себе то, о чем так сильно мечтала. Как раз тогда по предзаказу в подарок шли беспроводные наушники в подарок, поэтому мне не пришлось долго думать. И вот, спустя шесть дней, я держала эту кроху у себя в руках",Отзыв рекомендуют:2,1
